posted_date,description,credit,debit,balance
2026-08-03,DEBIT CARD FREMONT UNIFIED FACILI,,900.00,17340.55
2026-08-05,DEBIT CARD SCHOLASTIC BOOK FAIRS,,1340.00,16000.55
2026-08-07,DEBIT CARD R. ESTRADA (CONTRACTOR,,960.00,15040.55
2026-08-08,GIVEPATH PAYOUT 8817,1156.53,,16197.08
2026-08-11,CHECK DEPOSIT 4468,1500.00,,17697.08
2026-08-11,DEBIT CARD BAY AREA PRINT CO.,,185.00,17512.08
2026-08-13,DEBIT CARD COSTCO WHOLESALE,,212.45,17299.63
2026-08-15,GIVEPATH PAYOUT 8842,790.38,,18090.01
2026-08-17,DEBIT CARD TECHDIRECT BUSINESS,,1200.00,16890.01
2026-08-18,CHECK DEPOSIT 4471,500.00,,17390.01
2026-08-19,DEBIT CARD L. OKONKWO (CONTRACTOR,,720.00,16670.01
2026-08-21,DEBIT CARD LITERACY COACHES INSTI,,450.00,16220.01
2026-08-22,GIVEPATH PAYOUT 8869,775.71,,16995.72
2026-08-24,DEBIT CARD PACIFIC GAS & ELECTRIC,,148.30,16847.42
2026-08-27,DEBIT CARD STAPLES,,167.80,16679.62
2026-08-29,GIVEPATH PAYOUT 8901,1004.94,,17684.56
2026-08-31,MONTHLY SERVICE CHARGE,,15.00,17669.56
